school_year,district_id,school_id,school_number,core_code,individual school course_section,grade_level,Student Enrollment
2015,110575,110575,700,35020000030,801312,9,38
2015,110575,110575,700,35020000030,802002,9,3
2015,165608,165608,700,35020000030,CTSEG030S1,9,1
2015,165610,165610,700,35020000007,20081,9,18
2015,165610,165610,700,35020000007,20082,9,16
2015,165610,165610,700,35020000007,20083,9,19
2015,165610,165610,700,35020000030,20201,9,7
2015,165615,165615,100,35020000007,CTE3921611,9,8
2015,165615,165615,100,35020000007,CTE3921612,9,13
2015,165615,165615,100,35020000030,CTE3421712,9,2
2015,185696,185696,700,35020000007,652618001,9,1
2015,185698,185698,100,35020000030,6871,9,3
2015,185698,185698,100,35020000030,7951,9,4
2015,185698,185698,100,35020000030,8413,9,4
2015,185698,185698,100,35020000030,9560,9,4
2015,185700,185700,100,35020000030,85903,9,1
2015,185872,185872,100,35020000007,99883,9,27
2015,185872,185872,100,35020000030,93503,9,25
2015,185873,185873,700,35020000060,57602,9,1
2015,185874,185874,100,35020000030,22101,9,9
2015,185874,185874,100,35020000030,22102,9,9
2015,186006,186006,700,35020000030,TCH0602,9,1
2015,186006,186006,700,35020000060,TCH0401,9,9
2015,186006,186006,700,35020000060,TCH0403,9,43
2015,186056,733,702,35020000007,8320101,9,29
2015,186056,733,702,35020000007,8320102,9,28
2015,186056,736,705,32020000150,8309032,9,1
2015,186056,736,705,35020000007,8320115,9,21
2015,186056,736,705,35020000007,8320131,9,12
2015,186056,736,705,35020000060,8128111,9,12
2015,186056,736,705,35020000060,8128121,9,13
2015,186056,736,705,35020000060,8128134,9,19
2015,186056,737,706,35020000007,8320101,9,34
2015,186056,737,706,35020000007,8320102,9,26
2015,186056,737,706,35020000007,8320103,9,23
2015,186056,737,706,35020000007,8320104,9,15
2015,186056,737,706,35020000007,8320105,9,26
2015,186056,737,706,35020000007,8320106,9,21
2015,186056,737,706,35020000030,8121001,9,18
2015,186056,737,706,35020000030,8121002,9,11
2015,186056,737,706,35020000030,8121003,9,17
2015,186056,186286,711,35020000007,8320101,9,17
2015,186056,186286,711,35020000007,8320102,9,21
2015,186056,186286,711,35020000030,8121101,9,1
2015,186056,186286,711,35020000030,8121102,9,2
2015,186113,186113,600,35020000030,5101,9,6
2015,186113,186113,600,35020000060,5031,9,16
